TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
2,5	0	102	1	599,375	11	2,65	92	100	24,90625	139903975	939,375	-25,3935259	-49,2405567	6027	
1,5	0	102	1	601,875	11	2,55	92	100	25	139903975	939,25	-25,3935259	-49,2405567	5684	
0,69921875	0	26,4	1	598,5	11	2,65	92	100	25	139903975	939,375	-25,3935121	-49,2405409	5779	
0,296875	0	21,2	1	598,125	12	2,7	92	100	25	139903975	939,375	-25,3935029	-49,2405333	7574	
0	0	102	1	600,375	12	2,7	92	100	25	139903975	939,5	-25,3935029	-49,2405333	6106	
0	0	34,4	1	600,25	11	2,65	92	100	25,09375	139903975	939,625	-25,3934884	-49,2405247	5768	
0	0	102	1	599,5	11	2,65	92	100	25,09375	139903975	939,625	-25,3934873	-49,2405245	5715	
0	0	102	1	599,625	11	2,65	92	100	25,09375	139903975	939,625	-25,3934873	-49,2405245	7519	
0	0	36,4	1	600	11	2,7	92	100	25,09375	139903975	939,75	-25,3934863	-49,2405248	6105	
0	0	36,4	1	602,125	11	2,65	92	99,84375	25,09375	139903975	939,875	-25,3934863	-49,2405248	5768	
0	0	36,4	1	598,75	11	2,6	92	99,84375	25,09375	139903975	940,25	-25,3934856	-49,2405254	5715	
0	0	36,4	1	599,5	11	2,65	92	99,84375	25,09375	139903975	940,25	-25,3934856	-49,2405254	7530	
0	0	102	1	599,5	11	2,6	92	99,84375	25,09375	139903975	940,75	-25,3934848	-49,2405277	6111	
0	0	102	1	600,125	11	2,65	92	99,84375	25,09375	139903975	940,75	-25,3934848	-49,2405277	5746	
0	0	14,8	1	599,5	11	2,65	92	99,71875	25,09375	139903975	941,125	-25,3934851	-49,2405287	5702	
0	0	0	1	542,75	20	2,85	92	99,71875	25,09375	139903975	941,125	-25,3934851	-49,2405287	7530	
2,19921875	9,6	0	1	598,875	23	5,4	92	99,71875	25,09375	139903975	941,125	-25,3934853	-49,2405295	6095	
5,09765625	40,4	0	1	618,25	30	5,55	92	99,71875	25,09375	139903975	941,125	-25,3934817	-49,2405268	5791	
7,69921875	48	102	1	886	30	10,85	92	99,71875	25,09375	139903975	941,125	-25,3934817	-49,2405268	5511	
10,3984375	42,8	102	1	942	22	10	92	99,71875	25,09375	139903975	941	-25,3934725	-49,2405187	7964	
12,69921875	42,4	102	1	986,125	20	9,25	92	99,71875	25,09375	139903980	941	-25,3934725	-49,2405187	6081	
14,69921875	39,6	0	1	975,125	18	7,45	92	99,71875	25,09375	139903980	941,125	-25,3934512	-49,2405005	5747	
16,5	36,4	0	1	955	15	5,95	92	99,71875	25,09375	139903985	941,125	-25,3934301	-49,2405005	5575	
18	35,6	0	2	929,5	14	5,75	92	99,71875	25,09375	139903985	941	-25,3934301	-49,2404826	7608	
20,19921875	42,4	0	2	1012,75	20	8,15	92	99,71875	25,09375	139903995	940	-25,3933741	-49,2404331	6075	
21,69921875	38,4	0	2	1111,25	13	5,9	91	99,71875	25,09375	139903995	940	-25,3933741	-49,2404331	5723	
23,296875	13,6	0	2	924,625	0	0,05	91	99,71875	25,09375	139904005	939,875	-25,3932889	-49,2403357	5588	
24,59765625	0	102	3	914,75	0	0	91	99,5625	25,09375	139904005	939,5	-25,3932499	-49,2402906	7451	
25,69921875	0	0	3	960,125	0	0	91	99,5625	25,09375	139904005	939,5	-25,3932499	-49,2402906	6082	
26,8984375	0	0	3	1004	0	0	91	99,5625	25,09375	139904025	939,125	-25,3932076	-49,2402474	5682	
28,09765625	0	0	3	1048,625	0	0	91	99,5625	25,09375	139904025	938,875	-25,3932076	-49,2402474	5779	
29,09765625	0	102	3	1087,125	0	0	91	99,5625	25,09375	139904040	938,875	-25,393164	-49,2402004	5779	
30,19921875	0	102	3	1124	0	0	91	99,5625	25,09375	139904040	938,625	-25,393164	-49,2402004	7686	
31	0	1,6	3	1157	0	0	91	99,5625	25	139904055	938,625	-25,3924327	-49,2395133	6141	
31,69921875	0	6,4	3	1184,75	0	0	91	99,28125	25	139904055	937,5	-25,3924327	-49,2395133	5945	
31,19921875	0	0,8	3	1152,5	0	0	91	99,28125	25	139904080	937,5	-25,3924327	-49,2395133	5626	
31,296875	0	102	3	1399,625	0	0	91	98,875	25	139904080	937,5	-25,3924327	-49,2395133	7764	
30,59765625	0	102	2	1550,125	0	0	91	98,875	25,09375	139904090	936,875	-25,3924327	-49,2395133	6115	
30,69921875	0	2	2	1552,875	0	0	91	98,875	25,09375	139904090	936,375	-25,3924327	-49,2395133	5946	
30,59765625	0	102	2	1551,125	0	0	91	98,875	25,09375	139904090	935,5	-25,3924327	-49,2395133	5626	
30,5	0	3,6	2	1541,375	0	0	91	98,875	25,09375	139904125	934,5	-25,3924327	-49,2395133	7764	
29,59765625	0	3,6	2	1489,625	0	0	91	98,875	25,09375	139904125	933,625	-25,3924327	-49,2395133	6115	
28,5	0	6	2	1447,25	0	0	91	98,875	25,09375	139904130	933,375	-25,3924327	-49,2395133	5946	
28,19921875	0	102	2	1428,875	0	0	91	98,875	25,09375	139904130	933	-25,3923738	-49,2394631	5626	
27,796875	0	102	2	1401,875	0	0	90	98,875	25	139904150	933	-25,3923738	-49,2394631	7764	
26,69921875	0	0,8	2	1349,375	0	0	90	98,875	25	139904150	933	-25,3923228	-49,239415	6115	
26,796875	0	5,6	2	1352,5	0	0	90	98,875	25	139904170	932,75	-25,392214	-49,2393142	5946	
25,796875	0	6	2	1305,125	0	0	90	98,875	25	139904170	931,25	-25,3921614	-49,2392665	5626	
25,59765625	0	1,2	2	1297,875	0	0	90	98,875	25	139904170	931,25	-25,3921614	-49,2392665	7764	
25,8984375	0	3,6	2	1307,75	0	0	90	98,875	25	139904185	930,375	-25,3920637	-49,2391724	6115	
25,796875	0	2,8	2	1308,25	0	0	90	98,875	25	139904185	929,75	-25,3920195	-49,2391254	5946	
24,69921875	0	102	2	1240,125	0	0	90	98,875	25	139904195	929,75	-25,3920195	-49,2391254	5626	
23,69921875	0	102	2	1208,5	0	0	90	98,875	25	139904195	929,25	-25,3919183	-49,2390426	7764	
23	0	7,6	2	1163,5	0	0	90	98,875	25	139904220	929	-25,3919183	-49,2390426	6115	
22	0	4,4	2	1109,375	0	0	90	98,75	25	139904220	929	-25,391823	-49,2389513	5946	
21,3984375	0	2,4	2	1082	0	0	91	98,75	25	139904230	929	-25,391823	-49,2389513	5626	
21,5	0	3,6	2	1090,625	0	0	91	98,75	25	139904230	928,875	-25,391823	-49,2389513	7764	
21	0	102	2	1059,875	0	0	91	98,75	25	139904230	929,375	-25,3917388	-49,2388733	6115	
20,69921875	0	102	2	1051,25	0	0	91	98,75	25	139904245	930	-25,3917388	-49,2388733	5946	
20,59765625	0	6,4	2	1043,25	0	0	91	98,75	25	139904245	930	-25,3916948	-49,2388381	5626	
19,8984375	0	7,2	2	1006,625	0	0	91	98,75	25	139904255	930,125	-25,3916948	-49,2388381	7764	
19,19921875	0	5,6	2	971,625	0	0	91	98,75	25	139904255	930,125	-25,3915333	-49,238692	6115	
18,09765625	0	4	2	914,75	0	0	91	98,75	25	139904270	931,125	-25,3914953	-49,238692	5946	
17,5	0	102	2	882,625	0	0	91	98,75	25	139904270	931,875	-25,3914348	-49,238579	5626	
17,69921875	0	102	2	897,75	0	0	91	98,75	25	139904285	931,875	-25,3914348	-49,238579	7764	
