TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
25,8984375	61,2	102	2	1313,75	33	19,15	84	89,15625	25,09375	139886835	936,625	-25,3945236	-49,2414736	5662	
26,296875	66	0	2	1072,375	25	11,25	84	89,15625	25,09375	139886835	937,75	-25,3945236	-49,2414736	5894	
26,8984375	60,8	102	3	990	52	30,9	84	89,15625	25	139886855	937,5	-25,3945236	-49,2414736	7766	
27,59765625	61,2	0	3	1031,5	46	20,05	84	89,15625	25	139886855	936	-25,3945785	-49,2415155	6101	
28,296875	56,4	0	3	1059,75	36	15,55	85	89,15625	25	139886870	935,375	-25,3946289	-49,2415657	5778	
28,69921875	50	0	3	1067,75	27	12,1	85	89,15625	25	139886870	935,375	-25,3946786	-49,241618	5626	
28,8984375	50,8	0	3	1073,125	28	11,9	85	89,15625	25	139886880	935,625	-25,3947298	-49,2416661	7576	
29,09765625	50	0	3	1083	27	12,05	85	89,15625	25	139886880	936,125	-25,3947298	-49,2416661	6072	
29,19921875	49,6	102	3	1094,625	26	11,8	85	89,5625	25	139886910	936,125	-25,3948324	-49,2417612	5921	
28,796875	49,2	102	3	1082,25	21	6,9	85	89,5625	25	139886910	936,875	-25,3948887	-49,2418131	5651	
29,59765625	56,4	102	3	1093,875	28	10,55	85	89,5625	25	139886920	938	-25,3948887	-49,2418131	7152	
29,796875	41,6	102	3	1097,875	18	10,95	85	89,5625	25	139886920	939	-25,3949998	-49,2419182	6308	
29,59765625	46,4	102	3	1097,875	21	9,9	85	89,5625	25	139886920	939,125	-25,3949998	-49,2419182	5420	
29,59765625	48,4	0	3	1097,125	23	8,45	85	90	25	139886945	940,5	-25,3951076	-49,242016	6115	
29,5	51,6	0	3	1105,125	23	13,8	85	90	25	139886945	941	-25,3951076	-49,242016	7910	
